Encoding	Decoding
527.0005	5446.0054
526.0005	5421.0054
525.0005	5444.0054
526.0005	5488.0055
526.0005	283.0003
525.0005	283.0003
528.0005	3877.0039
526.0005	5418.0054
624.0006	5465.0055
526.0005	5545.0055
528.0005	5427.0054
526.0005	5461.0055
525.0005	451.0005
526.0005	283.0003
527.0005	3023.0030
526.0005	456.0005
527.0005	284.0003
526.0005	5389.0054
618.0006	5420.0054
525.0005	5510.0055
526.0005	5477.0055
525.0005	288.0003
524.0005	286.0003
527.0005	3898.0039
525.0005	384.0004
526.0005	281.0003
525.0005	5693.0057
525.0005	5420.0054
525.0005	5428.0054
525.0005	5412.0054
529.0005	5455.0055
522.0005	5457.0055
524.0005	5442.0054
527.0005	5444.0054
526.0005	4665.0047
527.0005	281.0003
525.0005	282.0003
526.0005	3034.0030
527.0005	454.0005
526.0005	283.0003
526.0005	5411.0054
626.0006	5387.0054
527.0005	5498.0055
528.0005	5473.0055
524.0005	5480.0055
525.0005	3025.0030
526.0005	290.0003
526.0005	283.0003
526.0005	5398.0054
624.0006	5406.0054
526.0005	5497.0055
528.0005	5448.0054
526.0005	5478.0055
526.0005	5453.0055
600.0006	5456.0055
527.0005	5504.0055
525.0005	5429.0054
526.0005	5423.0054
526.0005	322.0003
524.0005	289.0003
525.0005	278.0003
529.0005	3062.0031
529.0005	410.0004
525.0005	281.0003
526.0005	5450.0054
527.0005	5418.0054
526.0005	5402.0054
526.0005	5431.0054
527.0005	5414.0054
528.0005	5434.0054
521.0005	435.0004
525.0005	281.0003
524.0005	3004.0030
527.0005	302.0003
525.0005	280.0003
528.0005	3031.0030
526.0005	463.0005
527.0005	5446.0054
630.0006	5408.0054
527.0005	5364.0054
525.0005	5428.0054
527.0005	287.0003
525.0005	283.0003
526.0005	5431.0054
526.0005	324.0003
522.0005	279.0003
524.0005	281.0003
526.0005	5417.0054
524.0005	5441.0054
525.0005	5446.0054
526.0005	5438.0054
526.0005	5457.0055
614.0006	5452.0055
526.0005	5482.0055
527.0005	5410.0054
527.0005	5424.0054
526.0005	5454.0055
616.0006	5446.0054
526.0005	5452.0055
526.0005	5433.0054
526.0005	285.0003
527.0005	5452.0055
521.0005	5449.0054
947.0009	5448.0054
526.0005	284.0003
527.0005	5393.0054
525.0005	5410.0054
526.0005	5473.0055
527.0005	283.0003
525.0005	279.0003
526.0005	5428.0054
526.0005	321.0003
527.0005	449.0004
527.0005	283.0003
526.0005	3028.0030
525.0005	450.0004
525.0005	284.0003
526.0005	5471.0055
525.0005	5398.0054
526.0005	5369.0054
529.0005	5452.0055
527.0005	5462.0055
617.0006	5437.0054
527.0005	5559.0056
526.0005	5432.0054
527.0005	4705.0047
526.0005	465.0005
526.0005	285.0003
529.0005	3019.0030
525.0005	278.0003
525.0005	288.0003
526.0005	5443.0054
623.0006	5388.0054
526.0005	5496.0055
526.0005	5469.0055
527.0005	288.0003
525.0005	283.0003
528.0005	5408.0054
527.0005	328.0003
528.0005	280.0003
526.0005	280.0003
526.0005	2191.0022
526.0005	283.0003
525.0005	280.0003
526.0005	5432.0054
527.0005	5422.0054
527.0005	286.0003
527.0005	5410.0054
947.0009	5442.0054
526.0005	5442.0054
525.0005	5462.0055
525.0005	286.0003
525.0005	286.0003
527.0005	5453.0055
525.0005	322.0003
526.0005	414.0004
527.0005	282.0003
526.0005	3027.0030
528.0005	316.0003
525.0005	280.0003
526.0005	5402.0054
525.0005	5413.0054
527.0005	287.0003
